,Mean Diff,Initial p-val,Adjusted p-values
ERCC6L,0.8181061192753667,9.242973071580699e-10,9.698651644009628e-06
MTHFD1L,0.8229616940693312,5.142998929923885e-08,0.0002698274388584566
TNFRSF10B,-0.4240610514726697,3.067091134084042e-07,0.0010727662423314617
CDCA7,1.1895022350405995,5.363345964724285e-07,0.001406939730196298
LAMTOR4,-0.49685620965349564,1.3111560054797673e-06,0.0022929933275832
CYTH4,-0.5839456204727114,1.2698981455740728e-06,0.0022929933275832
DHX33,0.5349632097987875,3.4025515672566133e-06,0.004462871699402956
TMEM154,-0.5766096970743906,3.060722729250326e-06,0.004462871699402956
PAICS,0.5320876986092458,5.466608689752108e-06,0.006373458331285429
DLAT,0.4057382068634414,6.159659580098303e-06,0.00646333079739715
ITGA1,0.9044935541376642,7.053620020246358e-06,0.006728512261131366
CDC7,0.7061404416174941,1.1011890408215458e-05,0.0096289805044504
MCM4,1.1430790985600403,1.3708155971994768e-05,0.011064590816472392
LST1,-0.6886290983123509,1.77713274275691e-05,0.011653646346016592
PPM1F,-0.5956878250488806,2.443345274110026e-05,0.011653646346016592
RELT,-0.4890324356092606,2.1314638565223867e-05,0.011653646346016592
NCAPG2,0.8040488633701202,1.5640351192570257e-05,0.011653646346016592
C5AR2,-0.7554338576884021,1.9500947370144203e-05,0.011653646346016592
MTHFD1,0.6320297094247085,2.279220699865683e-05,0.011653646346016592
ITGB5,-0.9259411714587564,2.2636324878529215e-05,0.011653646346016592
SGO2,0.8885795589568453,2.3528308833737035e-05,0.011653646346016592
CTPS1,0.5802530352544881,1.82675454569838e-05,0.011653646346016592
DHFR,0.7366150998124716,2.808250751363759e-05,0.012811728319156489
ASPM,1.2378834609773577,3.532337710023713e-05,0.01544367482969951
PRRC1,0.424495842139196,4.243526574439152e-05,0.015902615837710726
ARHGAP11A,0.804149182066574,3.819869919533937e-05,0.015902615837710726
FANCI,0.8836029724475054,4.1026133962695385e-05,0.015902615837710726
MCM2,1.0061901124891577,4.027904653092153e-05,0.015902615837710726
CDS2,-0.38016064233849534,4.50557510888411e-05,0.016302413661214127
LDHA,0.5221316741080404,5.043947906238593e-05,0.016539420431300488
MEFV,-0.5991670021531981,4.995016745887053e-05,0.016539420431300488
TNFSF14,-0.6609651305751694,4.74702494188326e-05,0.016539420431300488
GPRIN3,0.5643918353667399,6.0344032124363245e-05,0.01711324132651199
UHRF1,0.8487470922233928,5.800162768612257e-05,0.01711324132651199
F2RL1,-1.0107831199169706,5.446912751680467e-05,0.01711324132651199
BID,-0.5541121538512499,5.971297951046537e-05,0.01711324132651199
ZSCAN30,0.38265491165522114,5.777630205944825e-05,0.01711324132651199
DTL,1.2968046668517381,7.16927521765822e-05,0.018154468736700374
SMC4,0.765111915635412,7.958692098429593e-05,0.018154468736700374
ZNF280C,0.49356922959727356,7.648181336014951e-05,0.018154468736700374
KIF2C,1.1885978275646494,7.586299298569211e-05,0.018154468736700374
PISD,-0.6121407973773536,7.794765646584503e-05,0.018154468736700374
CCNA2,1.2875123139827434,7.779197457512876e-05,0.018154468736700374
FAM102B,0.3807154978560323,7.494982624869844e-05,0.018154468736700374
SMC2,0.8637389437155871,7.957017533028142e-05,0.018154468736700374
NKRF,0.4622753475617376,7.527091733886896e-05,0.018154468736700374
ABCG1,-0.3746847036463343,8.393690170117265e-05,0.018739359777668184
CMTM2,-1.5344922491506168,8.83568473659158e-05,0.019182298757978326
FFAR2,-0.9756992649183118,8.957711227875136e-05,0.019182298757978326
RCBTB2,-0.44912453612493586,9.145533678290755e-05,0.01919281697726098
TNFRSF10C,-0.9965467952040932,9.510932687228082e-05,0.019565442059648934
TREM1,-0.9058642933611925,9.71980490461133e-05,0.019565442059648934
BUB1B,1.0034363532715496,9.882478120283936e-05,0.019565442059648934
FAM98A,0.39241475740282716,0.00010585041030270232,0.01983372063046885
SIRT7,-0.2947304149447927,0.00010498199538387868,0.01983372063046885
ASCC1,0.29034558671383515,0.00010218872902628693,0.01983372063046885
CENPF,1.163752460893786,0.00011182307744252596,0.020585255291305702
PSMD11,0.35238737340587,0.0001244166258482661,0.021401699262718957
CTLA4,0.9874128543981886,0.00012304310641176385,0.021401699262718957
FPR1,-0.848771862789409,0.00012197410441574125,0.021401699262718957
COX10,0.41792802158725806,0.00011856255884743746,0.021401699262718957
CDK2,0.6688174073442692,0.00012926310524077154,0.02163737845931559
FANCD2,0.4231299700518516,0.0001308446153224142,0.02163737845931559
SKP2,0.3629881994461641,0.00013216225234167464,0.02163737845931559
IGSF6,-0.645630962275801,0.00013403503286529242,0.02163737845931559
KIF23,0.8995584614890397,0.0001413618558124804,0.021899982923242533
ARID5B,0.4282285243200299,0.00014043909844358278,0.021899982923242533
PLK4,0.8928093840834563,0.00014192307622038427,0.021899982923242533
ATP6V1B2,-0.3892412522950348,0.00014587675333274544,0.022183837285804316
NOD2,-0.9826408517522349,0.00014804451475983776,0.022191872762499683
MCCC2,0.39949141368562024,0.00015131475773609167,0.022362616238377604
ICOS,0.7935865022412667,0.00015504133705502806,0.022595121523866796
DGKH,0.6405078758715081,0.0001622852742076173,0.023326840852883952
TOP2A,1.2760392513037768,0.00016709353884645836,0.02369341220426875
ADM,-0.8622100086889262,0.00018425996253937442,0.025779197159008744
MME,-1.2312956746442563,0.00019099807900868702,0.026370300566291485
NCF4,-0.6944859558275542,0.00020616824710350173,0.02776775421929535
CTD-3088G3.8,-1.3082081116363984,0.00020641235386496115,0.02776775421929535
LRRC58,0.44274537842799866,0.00021334567050768186,0.028337166084013998
KIF20A,1.2800083708734569,0.00021912918370219675,0.02864951963620328
ICK,0.2967272838945938,0.00022115801872986426,0.02864951963620328
MCM6,0.6308986889233577,0.0002390774976138969,0.02912723043430637
TREML1,-1.248477116106855,0.00023296629087817789,0.02912723043430637
PSMD5,0.3355371281738382,0.00024982852750286605,0.02912723043430637
FAM174A,-0.8117074641387667,0.00024401601374115253,0.02912723043430637
RB1,0.292081647506512,0.00022924513880120734,0.02912723043430637
SPAG5,1.0366345555045982,0.0002474682882646299,0.02912723043430637
KIF11,1.0487295013161493,0.00024080080269614558,0.02912723043430637
WDR12,0.48649459345626234,0.0002460236254665077,0.02912723043430637
B9D2,-0.5377981996058594,0.0002444988930339319,0.02912723043430637
FOXRED1,0.36981502451970627,0.0002620797323287185,0.029843162230569847
DLGAP5,1.1428467686286439,0.0002645014855087197,0.029843162230569847
EPM2A,0.4152669773177635,0.0002604910197652032,0.029843162230569847
CEP41,0.6557332046029263,0.000282176805179701,0.031242345337151187
CEP55,1.4394445468662838,0.00029488725839317114,0.031242345337151187
HELLS,0.9562692055245812,0.00029694306729032076,0.031242345337151187
CSF2RA,-0.5280184105324803,0.00030330482403929373,0.031242345337151187
OXSM,0.4211618501992973,0.00028539147249807926,0.031242345337151187
WDR76,0.6918407198317169,0.00029329198442299315,0.031242345337151187
LITAF,-0.5693254998961219,0.00028755493687241627,0.031242345337151187
TET1,0.7074915655300558,0.00030355912352667013,0.031242345337151187
SNN,-0.4210429090038019,0.00030369953534636624,0.031242345337151187
TPX2,1.1780419187532747,0.00032307345282213244,0.03209420698565741
CHEK1,1.046654816548397,0.0003242148042008658,0.03209420698565741
ZDHHC18,-0.7771219166547567,0.00031895253368809985,0.03209420698565741
NCAPD3,0.480280026831327,0.00031702469448692793,0.03209420698565741
RELB,-0.5354257776176663,0.0003459611893810149,0.03295292776270775
KIFC3,-0.5298805683250869,0.0003465299996459206,0.03295292776270775
GGCT,0.6448656286153671,0.0003485919166740265,0.03295292776270775
PUS7,0.46622644686957315,0.0003441680872735493,0.03295292776270775
TREML2,-0.5261898241004861,0.00034720661797166724,0.03295292776270775
SOD2,-0.9422503857744271,0.0003548998448651646,0.03295543426699267
HS3ST3B1,0.6073897587552839,0.00035366307271591916,0.03295543426699267
KIAA1524,0.8207374882470457,0.0003595028216903094,0.033090027263126466
ARPIN,-0.8226092657412494,0.0003739876328473965,0.033211240165475
MELK,1.0530215006470627,0.00037217001922710315,0.033211240165475
SFMBT2,0.42155277733107077,0.00037329085547550074,0.033211240165475
TCF19,0.7028596090018091,0.00037664515197670113,0.033211240165475
LCLAT1,0.3960666423923236,0.00036767253310660854,0.033211240165475
CDCA2,1.4144396150675291,0.0003878777049033052,0.033636369897110587
POLQ,0.9610518090058129,0.0003852255828584648,0.033636369897110587
TOB1,0.45268646443512495,0.00039169739805180564,0.03368918686686555
MCM10,1.1718065794256525,0.0004000546251037083,0.03385300952591299
DEF8,-0.5608754276436798,0.0003969497015458972,0.03385300952591299
ZWINT,1.0749200930100766,0.0004093032035283625,0.03414921529921853
PIGBOS1,-0.3296746097728942,0.00041006395956366475,0.03414921529921853
E2F2,0.9940748254115377,0.00041857697067966277,0.034303930231495305
RNMT,0.3594500906264706,0.0004218817538108061,0.034303930231495305
NCF1,-0.6323843446966944,0.00042499865911506624,0.034303930231495305
TWNK,0.41022999336434296,0.0004174397749408277,0.034303930231495305
KATNAL1,0.5716672365901854,0.00044076599746301477,0.03458715837709275
SEPT5,-0.8691353038641836,0.00044169248284860657,0.03458715837709275
NOL9,0.41578696802956117,0.00043400443366925175,0.03458715837709275
WLS,-1.1204267699382324,0.00044070938366952303,0.03458715837709275
ESCO2,1.3301005553104517,0.00046458926011581453,0.03462999482872871
RNF149,-0.5341397166066137,0.0004830308976824088,0.03462999482872871
L2HGDH,0.5901206168083846,0.0004803900931098414,0.03462999482872871
NCF2,-0.5936434272674553,0.0004831546544955207,0.03462999482872871
MKI67,1.5664654042075696,0.0004674667258928648,0.03462999482872871
SELENOI,0.33301149455840573,0.00047094439067113585,0.03462999482872871
ORC1,1.3285118304946018,0.00044912953766671317,0.03462999482872871
KPNA3,0.33150712594109955,0.000480446630503845,0.03462999482872871
PRPF38A,0.30093397897395313,0.0004851433565065396,0.03462999482872871
RPAP2,0.44533874924446337,0.00047399786855762815,0.03462999482872871
NUP155,0.4969859622769608,0.0004701708208750807,0.03462999482872871
IMPAD1,0.3289451484246122,0.00045459146929984693,0.03462999482872871
KRT23,-1.1209862636248111,0.00048400626307145827,0.03462999482872871
CLEC7A,-0.632625245631889,0.0004902453185472249,0.0346771038871141
PDSS1,0.3122813759904872,0.0004924128923263129,0.0346771038871141
LRRC8C,0.49314820974185203,0.0005011259496486295,0.035055430597753796
IKBKG,-0.41071288783354554,0.0005190468968257952,0.03583130979205966
CKAP2L,1.0313021922020802,0.0005171747081118991,0.03583130979205966
NUCKS1,0.4947596172009163,0.0005226627138184276,0.03584509709867164
DHX34,-0.5256805443564403,0.0005268544110646663,0.035897943735724316
EIF2AK4,0.3659454924711909,0.0005628491325155233,0.03789676927418726
CBLB,0.5179621205023253,0.0005634133238133244,0.03789676927418726
PDS5A,0.3982647435327884,0.0005717312110476888,0.038211309538365594
CPQ,-0.6589027272222783,0.0005848902797191826,0.03884337788033787
TRMT6,0.4527425987443401,0.0005908592769193545,0.038992996180596144
CARD19,-0.4933462407728175,0.0006146066695357213,0.04030667364648952
EGLN1,-0.6825043135494919,0.0006305334649406039,0.04034260760744973
SLC16A3,-0.5873740103105085,0.0006288669943858978,0.04034260760744973
PLAG1,0.6816689127259785,0.0006225099510046118,0.04034260760744973
B3GNT8,-0.7634035733056415,0.0006261473886405777,0.04034260760744973
HMMR,0.9997547889403045,0.000640391946555721,0.0407250466376314
KNL1,0.9244293102761194,0.000646943503168332,0.040893844450272936
RRM2,1.2158703221986862,0.0006595389792343932,0.041438168003484314
EIF5B,0.6260955581212784,0.0006634529900491152,0.041438168003484314
ST3GAL4,-0.7341797185821779,0.0006729086710975479,0.041780063229743016
LIMA1,0.6873420906854903,0.0006987019264725573,0.04290599299574149
MCM7,0.6465398804737976,0.0007019791416090001,0.04290599299574149
RFC4,0.541977254983566,0.000704054370844108,0.04290599299574149
BRCA1,0.5110386044828203,0.0007073989124428933,0.04290599299574149
IPO7,0.4644629909618665,0.0007174943806562428,0.04293717213342989
NCAPG,1.066014768695883,0.0007182270610148535,0.04293717213342989
FBXO45,0.3791993462263292,0.0007201889159900562,0.04293717213342989
MRPL19,0.4393147203036669,0.0007335077264789759,0.04335726261285225
CLSPN,1.015316973623765,0.000748064224838271,0.04335726261285225
MXD3,-0.6922136871529645,0.0007375652450474901,0.04335726261285225
C12orf66,0.34096698766840206,0.0007489788704236483,0.04335726261285225
GRAMD3,0.4100745345259398,0.0007488766941826228,0.04335726261285225
MPPE1,-0.38331415241837696,0.0007520272367806261,0.04335726261285225
NASP,0.48778432186163734,0.0007592205097012236,0.04353279130215814
RILPL2,-0.31938556647759775,0.000795325572205791,0.04458284817698639
MCM8,0.5202988492889595,0.0008033482954779737,0.04458284817698639
KCNJ2,-0.7962097510940609,0.0007905187533315809,0.04458284817698639
GNAZ,-0.757443962005059,0.000811231325861743,0.04458284817698639
PSTPIP1,-0.36272389247396397,0.0008157730725227663,0.04458284817698639
FRAT2,-0.7021148159852348,0.0008068433827758893,0.04458284817698639
CLEC4A,-0.6140170219709855,0.0007829290912727065,0.04458284817698639
ERCC4,0.412780731301682,0.0008071480140880846,0.04458284817698639
WHSC1,0.5313912622657941,0.0008127531019090835,0.04458284817698639
IL1B,-0.8601376764257509,0.0008282390493550482,0.04488063153888158
GINS2,0.9854533781853085,0.0008297762811915588,0.04488063153888158
BAG1,-0.6241048904001705,0.0008590655863158172,0.04619217422856475
FAM212B,-0.9375115094870079,0.000871633517321626,0.04619217422856475
CCDC6,0.31101310581014197,0.0008687833806273887,0.04619217422856475
SFXN1,0.47511011904813927,0.0008641045699691026,0.04619217422856475
HJURP,1.1223174082439087,0.0008824188873450113,0.04652875067794575
SLC15A3,-0.4935959965761434,0.0008919388006130054,0.04656275539717545
PACSIN2,-0.3551736510806851,0.0008906855558286711,0.04656275539717545
ALAD,0.19861513244179996,0.000921570447132863,0.04787147872160956
STMN1,0.9541599458495256,0.000927420118232594,0.047938026111402014
HMGCS1,0.33298502023628096,0.0009539830057207622,0.04832653443018169
FARSB,0.5508452588680655,0.0009631041020546564,0.04832653443018169
SLC26A2,0.274478954990272,0.0009671754722518017,0.04832653443018169
CHSY1,-0.39931777634886956,0.0009670292266487424,0.04832653443018169
CDK6,0.5040364735263108,0.0009622801454135138,0.04832653443018169
MMS22L,0.5989593428885378,0.0009610537991663537,0.04832653443018169
TUBGCP4,0.38185852660916453,0.0009479714948332775,0.04832653443018169
TIMELESS,0.5390647640089181,0.0009857839878926777,0.049022897559042024
ATAD5,0.6893192342545724,0.000991832112564572,0.049091011118585166
FHL1,-0.7496600659672303,0.0010091256691934325,0.04932487144840294
CD300LF,-0.4431808101549706,0.0010106592358149844,0.04932487144840294
ATIC,0.5025271782404683,0.0010030707838578417,0.04932487144840294
RACGAP1,0.733792799977298,0.0010231635288465485,0.04947490741099923
FCGRT,-0.5541658125540856,0.001022196291872946,0.04947490741099923
HSPA6,-0.7364483957503509,0.0010369889518948453,0.04976351805369972
IL13RA1,-0.672265201068857,0.0010433597609657808,0.04976351805369972
JAML,-0.5668449551789028,0.0010426844576776981,0.04976351805369972
